Date,Price
01-03-2021,2.89
01-04-2021,3.26
01-05-2021,3.29
01-06-2021,4.24
01-07-2021,4.39
01-08-2021,4.81
01-09-2021,6.19
01-10-2021,6.04
01-11-2021,4.94
01-12-2021,4.17
01-01-2022,6.02
01-02-2022,4.78
01-03-2022,5.78
01-04-2022,7.2
01-05-2022,8.8
01-06-2022,6.71
01-07-2022,8.55
01-08-2022,9.17
01-09-2022,6.56
01-10-2022,5.13
01-11-2022,7.15
01-12-2022,3.61
01-01-2023,2.7
01-02-2023,2.53
01-03-2023,2.12
01-04-2023,2.28
01-05-2023,2.1
01-06-2023,2.68
